layer_size,momentum,number_of_features,mean_score,std_score
50,0,20,0.5220615915250061,0.04341830077804302
50,0.9,20,0.4919586104951959,0.16473673645564543
200,0,20,0.5380758807588075,0.043495540604348265
200,0.9,20,0.6131056910569106,0.055560371658750565
400,0,20,0.5886853904902685,0.035491446810619935
400,0.9,20,0.6133338260655334,0.09216874257235709
50,0,21,0.5538186745503818,0.03982748717516114
50,0.9,21,0.4734786893323478,0.11061917156508548
200,0,21,0.5525247597930525,0.05379834452949859
200,0.9,21,0.6459728997289973,0.03745595600306361
400,0,21,0.5691771372259178,0.05986840282064447
400,0.9,21,0.6292993348115299,0.027567587021270195
50,0,22,0.5367105198324711,0.06161792034358433
50,0.9,22,0.5249076127124908,0.10763979394498828
200,0,22,0.5653387533875338,0.05851507275020301
200,0.9,22,0.6033185513673318,0.08537917931804445
400,0,22,0.5300842572062086,0.056502610906591526
400,0.9,22,0.6375077605321507,0.049636774323091735
50,0,23,0.5236319290465632,0.03135305566153353
50,0.9,23,0.3681478196600148,0.15085056890731713
200,0,23,0.5587085489036707,0.03137538106109392
200,0.9,23,0.6208805124414881,0.05032565667843278
400,0,23,0.5638122690317813,0.06256437069978656
400,0.9,23,0.6497487065779748,0.042818604368284004
50,0,24,0.5034422271495442,0.05290979706943274
50,0.9,24,0.44104508499630446,0.1360816556199793
200,0,24,0.5498024143877803,0.05519321690303446
200,0.9,24,0.6059783197831978,0.06802577046887036
400,0,24,0.5827154471544714,0.04129706423170483
400,0.9,24,0.6259847253017984,0.04278434131719648
50,0,25,0.5422296132052229,0.06997127905639104
50,0.9,25,0.4139650160137965,0.13620867284938626
200,0,25,0.5460512441488051,0.0576356427288372
200,0.9,25,0.6308445429908843,0.059786272260933485
400,0,25,0.5498226164079824,0.06073055409970045
400,0.9,25,0.6251145602365116,0.07725153041633816
50,0,26,0.5534116777531412,0.04751673298434362
50,0.9,26,0.4433151022419315,0.13852624709893852
200,0,26,0.5276363636363637,0.058755816218709296
200,0.9,26,0.6244429662478442,0.04597715551946289
400,0,26,0.5411874846021187,0.06516539360123333
400,0.9,26,0.5950983000739097,0.08076235842264298
50,0,27,0.5456132052229613,0.03957505402786962
50,0.9,27,0.48810051736881005,0.12492144524272886
200,0,27,0.5704508499630451,0.044418374269418665
200,0.9,27,0.599970436067997,0.06187813423213143
400,0,27,0.5478314855875831,0.06549076390657954
400,0.9,27,0.6235417590539541,0.03882486794304965
50,0,28,0.5451781226903177,0.06848018349845701
50,0.9,28,0.5207435328898743,0.11002202480154874
200,0,28,0.5551480660261148,0.06099188713882792
200,0.9,28,0.6099660014781966,0.03193375600573714
400,0,28,0.542960827790096,0.09319536022712226
400,0.9,28,0.603110618378911,0.052441670738692374
50,0,29,0.5698171963537817,0.028805873971669636
50,0.9,29,0.45415865976841585,0.13007454860617562
200,0,29,0.5515713229859571,0.07248617559530546
200,0.9,29,0.5953279132791328,0.0266084651048236
400,0,29,0.5582764227642277,0.04984910811666739
400,0.9,29,0.6017447647203744,0.05304859523150136
50,0,30,0.5342833210150284,0.08031244877529492
50,0.9,30,0.3667011579206701,0.12133783712932295
200,0,30,0.4838876570583889,0.0892626043916034
200,0.9,30,0.653289972899729,0.040891881606155485
400,0,30,0.569630450849963,0.052020495861847274
400,0.9,30,0.6222153239714217,0.060107146972761386
50,0,31,0.55250012318305,0.028228515024559295
50,0.9,31,0.5437575757575758,0.1022529144363561
200,0,31,0.5380561714708055,0.09447482186228154
200,0.9,31,0.649940872135994,0.04333574630647473
400,0,31,0.5531633407243163,0.05031649232820965
400,0.9,31,0.6440039418576003,0.07497903110560519
50,0,32,0.5727075634392707,0.04613407336098168
50,0.9,32,0.4586035969450603,0.10440131944448566
200,0,32,0.5706986942596698,0.04040390214134581
200,0.9,32,0.5940059127864006,0.0497951967449539
400,0,32,0.5092475979305248,0.076930591768588
400,0.9,32,0.6084503572308451,0.051270686459571224
50,0,33,0.5378753387533874,0.05997271592015317
50,0.9,33,0.44174525745257454,0.11469014913957666
200,0,33,0.5582828282828283,0.046229651532265444
200,0.9,33,0.6055841340231585,0.0586954813140929
400,0,33,0.5292446415373244,0.07647416635129954
400,0.9,33,0.6412825819167283,0.03456508165630432
50,0,34,0.5132091648189211,0.06490880115387263
50,0.9,34,0.4831736881005174,0.12264130062764461
200,0,34,0.5516186252771619,0.047718296243742624
200,0.9,34,0.5720556787386055,0.08876989173612372
400,0,34,0.5736058142399606,0.039884518673557495
400,0.9,34,0.6295412663217541,0.05371446228161586
50,0,35,0.538310421286031,0.09230071343388618
50,0.9,35,0.43303079576250314,0.1317330938496761
200,0,35,0.5476575511209658,0.05618154076349691
200,0.9,35,0.5833904902685391,0.0738344161352492
400,0,35,0.5715856122197587,0.03408943075453963
400,0.9,35,0.6308371520078838,0.030039727715072413
50,0,36,0.5587036215816703,0.025378376900273496
50,0.9,36,0.43369647696476965,0.1519586081952996
200,0,36,0.5269795516136979,0.04896055557569999
200,0.9,36,0.6315235279625524,0.04829990661432906
400,0,36,0.5533742301059374,0.05580015497274866
400,0.9,36,0.607979797979798,0.06255750654529067
50,0,37,0.5369677260408967,0.07571163040945697
50,0.9,37,0.4750041882237004,0.1249064778576114
200,0,37,0.5423035230352304,0.04598444164702423
200,0.9,37,0.6202448879034245,0.0737763469361595
400,0,37,0.5495801921655581,0.05106741103098769
400,0.9,37,0.6027026361172703,0.06693487277740999
50,0,38,0.5263222468588322,0.05486067235625329
50,0.9,38,0.4812175412663217,0.11118390564334125
200,0,38,0.5613964030549397,0.04763608306593919
200,0.9,38,0.6062547425474255,0.08581480396395047
400,0,38,0.5242483370288248,0.08025238708825236
400,0.9,38,0.5844774575018478,0.07616035740166717
50,0,39,0.5631539788125155,0.05014279250838118
50,0.9,39,0.45453165804385326,0.1386527812478485
200,0,39,0.5489228874106923,0.051771187933299476
200,0.9,39,0.6179931017491993,0.038280818476295525
400,0,39,0.5837950234047795,0.02989249425542675
400,0.9,39,0.6233259423503326,0.046373993069268045
50,0,40,0.5596013796501601,0.03827125832776042
50,0.9,40,0.4573126385809313,0.10940278881724817
200,0,40,0.5698147326927815,0.052056850356001626
200,0.9,40,0.5897684158659768,0.07828624134227756
400,0,40,0.5677979797979799,0.044758598047030904
400,0.9,40,0.6344030549396402,0.03769869728251235
50,0,41,0.5520551860064055,0.048080282230977725
50,0.9,41,0.4928051244148805,0.1382576899672991
200,0,41,0.5241138211382113,0.08441465739781798
200,0.9,41,0.6128711505296871,0.03749940768707133
400,0,41,0.5498571076619857,0.05834559215206117
400,0.9,41,0.5858250800689825,0.07786666182110985
50,0,42,0.5262981029810299,0.07783953035641392
50,0.9,42,0.45181128356738115,0.1495480143093541
200,0,42,0.5420561714708055,0.04242204178567377
200,0.9,42,0.6241936437546194,0.03367770285071153
400,0,42,0.5533757083025376,0.057044951431601425
400,0.9,42,0.6388484848484849,0.02619113854668144
50,0,43,0.5287144616900714,0.0441440540284847
50,0.9,43,0.47021236757822116,0.1330367619468595
200,0,43,0.5471574279379157,0.051285100433289106
200,0.9,43,0.5618048780487805,0.11547532621118833
400,0,43,0.5636250307957625,0.056007912838792515
400,0.9,43,0.6343833456516383,0.048854473045465356
50,0,44,0.5649337275190934,0.03132675280665985
50,0.9,44,0.48616506528701653,0.17202792153994798
200,0,44,0.553610741561961,0.03739851992372153
200,0.9,44,0.6135176151761518,0.06441651175837917
400,0,44,0.5318635131805862,0.052942849862661595
400,0.9,44,0.6119852180339985,0.05311095688322636
50,0,45,0.5183212613944321,0.07682902692067702
50,0.9,45,0.41293964030549396,0.11811368108030779
200,0,45,0.5658152254249816,0.043295453381826866
200,0.9,45,0.6026336536092634,0.06956137850356393
400,0,45,0.5478842079329884,0.061749186077726816
400,0.9,45,0.6299876816949987,0.04624071298898615
50,0,46,0.5256368563685637,0.05277983147771653
50,0.9,46,0.4808046316826805,0.1339716992685572
200,0,46,0.572931756590293,0.04566663424887382
200,0.9,46,0.595090416358709,0.0575619256445988
400,0,46,0.5260310421286032,0.07502020344051645
400,0.9,46,0.637090909090909,0.05095790461208268
50,0,47,0.5642857846760286,0.07747580527567414
50,0.9,47,0.44994136486819414,0.13148305859165332
200,0,47,0.5531347622567135,0.06721053971268597
200,0.9,47,0.6148662232076866,0.023536565420080816
400,0,47,0.5571618625277163,0.06697126278047642
400,0.9,47,0.6350657797487066,0.023334477025651716
50,0,48,0.5553732446415374,0.028972241744230652
50,0.9,48,0.4374875585119488,0.1112307529906742
200,0,48,0.5722670608524266,0.038067523444651565
200,0.9,48,0.624669623059867,0.04339608643363848
400,0,48,0.5789214092140922,0.038086434840883795
400,0.9,48,0.6268677014042867,0.044563037238361435
50,0,49,0.5163247105198324,0.0360577727778632
50,0.9,49,0.4679477703867948,0.10139243744860989
200,0,49,0.5431771372259177,0.056013811186475373
200,0.9,49,0.6084552845528455,0.05212044320549824
400,0,49,0.5748854397634886,0.048713595202131095
400,0.9,49,0.6210662724809065,0.05119809888174077
50,0,50,0.5402759300320277,0.037887916553641605
50,0.9,50,0.45105099778270513,0.13885990754026395
200,0,50,0.5642769154964277,0.039705209407922805
200,0.9,50,0.599990145355999,0.07763914109579306
400,0,50,0.5517945306725794,0.055039345384033676
400,0.9,50,0.6284143877802413,0.047003255786104314
50,0,51,0.5611441241685144,0.029638374929185425
50,0.9,51,0.4292855383099286,0.16040808059751627
200,0,51,0.5494175905395416,0.05254408612741125
200,0.9,51,0.6241872382360188,0.06124521459706571
400,0,51,0.5658339492485833,0.060964676412090246
400,0.9,51,0.6209021926582903,0.05758805476757542
50,0,52,0.5715767430401577,0.03656785551866086
50,0.9,52,0.4622320768662231,0.1616758080254654
200,0,52,0.5180497659522051,0.049111108973009944
200,0.9,52,0.580259669869426,0.05832792357850918
400,0,52,0.5729061345158906,0.051012144423964095
400,0.9,52,0.6357373737373738,0.024290549704105886
50,0,53,0.5369524513426953,0.04333392004737823
50,0.9,53,0.39151860064055183,0.10794145629038242
200,0,53,0.5613451589061345,0.06723881959656777
200,0.9,53,0.6208765705838877,0.043485513140625695
400,0,53,0.5431835427445183,0.03977052644797702
400,0.9,53,0.6415161369795517,0.04718957340042649
50,0,54,0.5565129342202513,0.04828671698708555
50,0.9,54,0.4604380389258438,0.11095003943352054
200,0,54,0.5818078344419808,0.035332787571295515
200,0.9,54,0.6220103473762011,0.0567098569472269
400,0,54,0.5673564917467356,0.053896073408334945
400,0.9,54,0.6015471791081547,0.053033420245288655
50,0,55,0.5445124414880512,0.03514203722592967
50,0.9,55,0.4155461936437546,0.12745793763808297
200,0,55,0.5567006651884701,0.05400359848239407
200,0.9,55,0.6159758561221975,0.05776388182557427
400,0,55,0.5491869918699186,0.056307869182642335
400,0.9,55,0.6033111603843312,0.041119000019274744
50,0,56,0.5513762010347376,0.04802469752785325
50,0.9,56,0.4241039664942104,0.12882076591620462
200,0,56,0.5431510224193151,0.05973223407520687
200,0.9,56,0.6268814979058881,0.04353799531789903
400,0,56,0.5644582409460458,0.051056946413672574
400,0.9,56,0.6312924365607292,0.04180301600250944
50,0,57,0.5633919684651392,0.038733924153624436
50,0.9,57,0.4320078837152007,0.12092918835420337
200,0,57,0.5265267307218526,0.05394265595567628
200,0.9,57,0.639520078837152,0.05817870105806219
400,0,57,0.5678167036215817,0.03420066646248983
400,0.9,57,0.600670608524267,0.08645377401207084
50,0,58,0.5527346637102735,0.028814204330717665
50,0.9,58,0.4545656565656566,0.14526398376098396
200,0,58,0.5773426952451343,0.03553282081292899
200,0.9,58,0.6333086967233308,0.07115551337593724
400,0,58,0.5538817442719882,0.07987542552031149
400,0.9,58,0.6297319536831731,0.058000206551081776
50,0,59,0.5342887410692289,0.08048114767910794
50,0.9,59,0.44033998521803397,0.12788002732598316
200,0,59,0.5333584626755359,0.06946271146417195
200,0.9,59,0.6241857600394186,0.05256360730301083
400,0,59,0.5729145109632914,0.045496833025814705
400,0.9,59,0.6186715939886671,0.07110447251173868
