layer_size,momentum,number_of_features,mean_score,std_score
50,0,43,0.38022468588322245,0.04277420013090183
50,0.9,43,0.4301734417344174,0.10352056241805799
300,0,43,0.4206474501108647,0.06923887350575891
300,0.9,43,0.5635905395417591,0.01755666188281677
600,0,43,0.4346021187484602,0.0428341649535254
600,0.9,43,0.5558383838383839,0.029567100774583056
50,0,44,0.3869524513426953,0.07264285880505762
50,0.9,44,0.4484060113328406,0.11705835448164446
300,0,44,0.4408213845774821,0.04402250598028711
300,0.9,44,0.5649125400344912,0.04764891696471517
600,0,44,0.4364281842818428,0.08729775984334111
600,0.9,44,0.5760546932742054,0.038836822625451
50,0,45,0.39517023897511705,0.10577723401189079
50,0.9,45,0.4108558758314856,0.10927748944814518
300,0,45,0.39200147819660014,0.042436561976449676
300,0.9,45,0.5633569844789357,0.04502866422609795
600,0,45,0.40707218526730726,0.08118711794687143
600,0.9,45,0.5647026361172703,0.042178365668923384
50,0,46,0.37958659768415864,0.06546888569374348
50,0.9,46,0.372819906380882,0.11010053879707642
300,0,46,0.41821039664942106,0.060773636206618506
300,0.9,46,0.536750431140675,0.047576826311147916
600,0,46,0.3926533628972653,0.07651924027602582
600,0.9,46,0.5360266075388027,0.048241081021696136
50,0,47,0.3898073417097807,0.04493982350014867
50,0.9,47,0.41069623059866955,0.1180757558778026
300,0,47,0.38802365114560233,0.08265934096976815
300,0.9,47,0.5420625769894063,0.0679650580925811
600,0,47,0.4210933727519093,0.05658191127886712
600,0.9,47,0.5556151761517616,0.053919687373283655
50,0,48,0.4374767184035476,0.04940942477652335
50,0.9,48,0.42793052475979304,0.1460509770823259
300,0,48,0.41241586597684154,0.07522303792772879
300,0.9,48,0.5596058142399606,0.0430138047642268
600,0,48,0.42016358709041635,0.08311224304312213
600,0.9,48,0.5775811776299581,0.032566538528099286
50,0,49,0.4006449864498645,0.06189145641815457
50,0.9,49,0.3842054693274205,0.10403763913195871
300,0,49,0.4419457994579946,0.05027801185068131
300,0.9,49,0.5631460950973147,0.04645944255805434
600,0,49,0.46924710519832474,0.04263928674501012
600,0.9,49,0.5731702389751171,0.06881220640359173
50,0,50,0.38070756343927076,0.05863760589868316
50,0.9,50,0.2788090662724809,0.14948488632802373
300,0,50,0.4224005912786401,0.08090342336907062
300,0.9,50,0.560919438285292,0.03701940423484085
600,0,50,0.44462872628726285,0.0724344541670688
600,0.9,50,0.5587243163340724,0.046273428607573726
50,0,51,0.3902320768662232,0.07722191360512046
50,0.9,51,0.44327174180832724,0.09726461378787744
300,0,51,0.4439728997289973,0.07953847819656104
300,0.9,51,0.5478309928553832,0.07435042631987725
600,0,51,0.3855358462675536,0.13256254492663133
600,0.9,51,0.5555865976841586,0.04671797256675849
50,0,52,0.33430352303523037,0.08770625117850657
50,0.9,52,0.4564646464646464,0.09568623407478567
300,0,52,0.43659078590785905,0.04613954773918059
300,0.9,52,0.535429908844543,0.0685084858465782
600,0,52,0.44196747967479666,0.10498407754617772
600,0.9,52,0.5715944813993594,0.07147411564272303
50,0,53,0.37601626016260165,0.07105267048048002
50,0.9,53,0.42745158906134517,0.12223703686191757
300,0,53,0.35453215077605316,0.06032635299180118
300,0.9,53,0.5460803153486081,0.06835794441347576
600,0,53,0.4259379157427937,0.060154912714559
600,0.9,53,0.5229386548410939,0.07817785877787878
50,0,54,0.39,0.10056603231134106
50,0.9,54,0.4621778763242178,0.12266030302967239
300,0,54,0.39110273466371026,0.11783805527012661
300,0.9,54,0.5933619118009361,0.030652194446808074
600,0,54,0.4342286277408228,0.06660283176625598
600,0.9,54,0.5534126632175413,0.05680354936686973
50,0,55,0.39977186499137723,0.047219158236622864
50,0.9,55,0.42732347868933235,0.117744662129561
300,0,55,0.4330854890367085,0.07539011038669062
300,0.9,55,0.5402434097068244,0.07771590999579105
600,0,55,0.47099039172209906,0.05665476362351123
600,0.9,55,0.5438462675535846,0.06152391705804414
50,0,56,0.4090914018231091,0.06942729131711815
50,0.9,56,0.38879674796747965,0.14378438850506872
300,0,56,0.41310519832471054,0.08011878370276404
300,0.9,56,0.5425065287016506,0.05831978952766696
600,0,56,0.43265779748706584,0.08619697427179378
600,0.9,56,0.5243010593742301,0.04269721979606155
50,0,57,0.36934910076373495,0.054820893269107586
50,0.9,57,0.41090761271249077,0.11090159381156557
300,0,57,0.39780044345898,0.06330860602502957
300,0.9,57,0.5542749445676274,0.05687490175568078
600,0,57,0.45128750923872873,0.0794362333393167
600,0.9,57,0.5471929046563193,0.06912598846003445
50,0,58,0.3542379896526239,0.06018483980264949
50,0.9,58,0.4218162108893816,0.11914404624012923
300,0,58,0.38268243409706826,0.08904997422381919
300,0.9,58,0.5372057156935205,0.065922025207489
600,0,58,0.450160137965016,0.04728748983132957
600,0.9,58,0.5626863759546686,0.03736367744899757
50,0,59,0.3955131805863513,0.06319208263151033
50,0.9,59,0.5118763242177876,0.06341059028445592
300,0,59,0.4031441241685144,0.06796331745160411
300,0.9,59,0.5627026361172703,0.0491072045930901
600,0,59,0.4106257698940626,0.06573892985251348
600,0.9,59,0.5773574772111358,0.031108097686139466
